	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
40	-2.39318	14.08174	30.34229	6.19908	-19.91158	-165.34828	8.88465	0.80037	89.08305	-5.80457	-14.88470	-82.77059	-5.41117	15.35531	-143.18333	-2.94522	-5.78100	-89.54043	-7.25527	-0.71632	4.20973
41	-2.41090	14.08346	30.38680	6.20132	-19.90600	-165.34775	8.88744	0.80400	89.08225	-5.80261	-14.88120	-82.75658	-5.41053	15.35497	-143.18869	-2.95107	-5.78122	-89.53970	-7.23763	-0.72080	4.18442
42	-2.42892	14.08540	30.43284	6.20363	-19.90006	-165.34715	8.89024	0.80786	89.08143	-5.80032	-14.87740	-82.74173	-5.41016	15.35506	-143.19327	-2.95791	-5.78120	-89.53897	-7.22010	-0.72560	4.15799
43	-2.44727	14.08759	30.48038	6.20602	-19.89378	-165.34636	8.89299	0.81196	89.08057	-5.79769	-14.87325	-82.72592	-5.41000	15.35554	-143.19704	-2.96562	-5.78095	-89.53823	-7.20268	-0.73075	4.13044
44	-2.46595	14.09007	30.52934	6.20851	-19.88719	-165.34508	8.89568	0.81624	89.07968	-5.79473	-14.86874	-82.70908	-5.41001	15.35642	-143.20000	-2.97405	-5.78049	-89.53751	-7.18537	-0.73626	4.10177
45	-2.48497	14.09286	30.57962	6.21114	-19.88033	-165.34305	8.89829	0.82065	89.07877	-5.79146	-14.86383	-82.69116	-5.41014	15.35767	-143.20218	-2.98298	-5.77985	-89.53683	-7.16816	-0.74215	4.07203
46	-2.50435	14.09597	30.63107	6.21394	-19.87328	-165.34004	8.90083	0.82514	89.07785	-5.78791	-14.85850	-82.67213	-5.41033	15.35930	-143.20369	-2.99220	-5.77902	-89.53619	-7.15105	-0.74842	4.04129
47	-2.52406	14.09942	30.68349	6.21694	-19.86608	-165.33583	8.90328	0.82962	89.07694	-5.78410	-14.85276	-82.65205	-5.41051	15.36130	-143.20465	-3.00146	-5.77804	-89.53563	-7.13404	-0.75503	4.00967
48	-2.54405	14.10317	30.73664	6.22017	-19.85882	-165.33028	8.90567	0.83402	89.07604	-5.78007	-14.84662	-82.63099	-5.41060	15.36364	-143.20522	-3.01051	-5.77692	-89.53515	-7.11716	-0.76194	3.97732
49	-2.56426	14.10720	30.79021	6.22364	-19.85155	-165.32329	8.90800	0.83828	89.07517	-5.77585	-14.84011	-82.60909	-5.41050	15.36633	-143.20560	-3.01908	-5.77571	-89.53476	-7.10043	-0.76909	3.94443
50	-2.58460	14.11144	30.84391	6.22737	-19.84432	-165.31482	8.91028	0.84232	89.07434	-5.77148	-14.83327	-82.58651	-5.41015	15.36933	-143.20605	-3.02695	-5.77445	-89.53447	-7.08394	-0.77640	3.91119
51	-2.60495	14.11585	30.89736	6.23135	-19.83718	-165.30492	8.91251	0.84611	89.07355	-5.76699	-14.82616	-82.56345	-5.40949	15.37261	-143.20685	-3.03389	-5.77320	-89.53429	-7.06776	-0.78379	3.87781
